word,a_to_h_letter_count,frequency_score,a_to_h_sequence,match_status,puzzle_id,fen,moves,rating,rating_deviation,popularity,nb_plays,themes,lichess_url,opening_tags,daily_date
"oddly","2","935","dd","exact","8tg9X","1k1Q3r/pp4pp/2p5/2P1bB2/1P4P1/P2RP2P/5P1q/4K3 b - - 1 27","h8d8 d3d8 b8c7 d8c8","1601","76","100","799","endgame mate mateIn2 queensideAttack short","https://lichess.org/vDBGgYH4/black#54","",""
"tithe","2","934","he","exact","Jlp8Q","4r3/pp6/2p4r/3p1pkP/3P1NnR/1P2P1P1/P5K1/4R3 b - - 12 27","e8e3 h4g4 f5g4 e1e3","1587","75","100","674","crushing endgame intermezzo short","https://lichess.org/ZnoiQHfc/black#54","",""
"plaid","2","933","ad","exact","nso01","r5k1/1R5p/5Rp1/8/8/2P4P/3n1PP1/6K1 w - - 1 38","f6f7 a8a1 g1h2 d2f1","1620","119","100","64","endgame equality short","https://lichess.org/ShhjRmGV#75","",""
"dummy","1","932","d","exact","Iwup9","6bk/8/7p/p1p3pP/2P5/3QP3/1P4r1/qBK2R2 b - - 2 40","a1a4 d3c3","1629","75","100","992","endgame master mate mateIn1 oneMove","https://lichess.org/HlCSTYx0/black#80","",""
"broom","1","931","b","exact","SYyoq","2R2rk1/5pp1/4p2p/1q2P2P/p7/2Q3P1/1P3P2/6K1 w - - 1 34","g1g2 b5b7 c3c6 b7c8","1601","75","100","898","crushing endgame master short","https://lichess.org/M93BOgyt#67","",""
"blind","2","930","bd","exact","kC14w","8/8/4rqkp/1Q1R2p1/1b3p2/P4P1P/6PK/8 b - - 0 42","b4a3 b5d3 g6h5 d3a3","1598","115","100","57","endgame equality fork short","https://lichess.org/if9Wt74K/black#84","",""
"torch","2","929","ch","exact","Psfj1","rn1q3r/ppp3kp/3b1pn1/7Q/3P4/8/PPP2PPP/RNB1R1K1 b - - 2 13","b8c6 c1h6 g7g8 h5d5","1614","74","100","486","mate mateIn2 middlegame short","https://lichess.org/r8bu90Hj/black#26","French_Defense French_Defense_Exchange_Variation",""
"again","3","927","aga","exact","Skdup","rr2n1k1/5p2/2p1p2p/2Np4/p2P3P/qP1Q1P2/P1P5/1K1R3R w - - 0 24","c5e6 a4b3 d1g1 g8h8 c2b3 a3a2","1633","74","100","445","crushing long middlegame queensideAttack","https://lichess.org/XWXtd5t0#47","",""
"tying","1","926","g","exact","93gvl","6k1/5rp1/pn6/1p1Q2P1/3p4/3P2qP/P2RK3/4R3 w - - 2 32","d5b3 g3f3","1618","76","100","2043","endgame master mate mateIn1 oneMove","https://lichess.org/6rvvA2Uu#63","",""
"gazer","3","923","gae","exact","7403u","1r1q1k1r/Q1p1nppp/2B1p1b1/4P1B1/3P4/P4N2/2n1KPPP/1N5R b - - 0 16","b8b2 g5e7 f8e7 a7c5 d8d6 e5d6","1301","75","100","1915","attraction crushing long middlegame","https://lichess.org/pbopCpwv/black#32","Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation",""
"noble","2","922","be","exact","YEIt6","8/P7/1N6/1P1b4/4pp2/8/6k1/4K3 b - - 0 46","f4f3 b6d5 f3f2 e1d2","1618","76","100","353","crushing defensiveMove endgame hangingPiece master masterVsMaster short","https://lichess.org/ADeTaMIu/black#92","",""
