word,a_to_h_letter_count,frequency_score,a_to_h_sequence,match_status,puzzle_id,fen,moves,rating,rating_deviation,popularity,nb_plays,themes,lichess_url,opening_tags,daily_date
"cigar","3","2308","cga","exact","5Ac55","8/1p6/1kbp1pN1/5P2/1P6/2R5/r1p3PP/5R1K w - - 3 32","g6e7 c6g2 h1g1 g2f1 g1f1 a2a1","1607","75","100","233","advantage attraction endgame long","https://lichess.org/ulafojcP#63","",""
"rebut","2","2307","eb","exact","wpXZg","1kr2b1r/1bp3q1/pp2B2p/4n1p1/1P6/P3QN2/5PPP/2R1R1K1 w - - 0 23","e6c8 e5f3 g2f3 b7c8","1598","74","100","416","advantage intermezzo middlegame short","https://lichess.org/h1nmZnrr#45","",""
"humph","2","2306","hh","exact","Wb9dk","2r5/ppq2k1p/3b2P1/1b4P1/3B4/8/P2N4/3K2QR b - - 0 32","f7g6 h1h6 g6f7 h6h7","1600","78","100","1302","crushing deflection middlegame short","https://lichess.org/9pyoyz2b/black#64","",""
"awake","3","2305","aae","exact","Z0TbD","5rk1/p1p2ppp/2p1p3/q2pP3/3Pb3/2P1P2P/1P4P1/1R1Q1RK1 w - - 1 19","b2b4 a5a2 f1f2 a2b1 d1b1 e4b1","1614","74","100","227","advantage endgame long","https://lichess.org/8p2QdoVC#37","",""
"blush","2","2304","bh","exact","TM6Sv","8/5p2/3k3P/3p4/3Kb3/1B2P3/8/8 b - - 0 60","d6e6 b3d5 e4d5 h6h7","1600","74","100","510","advancedPawn bishopEndgame crushing endgame sacrifice short","https://lichess.org/Agbug89X/black#120","",""
"focal","3","2303","fca","exact","qKdMr","8/3p4/1pp1p3/5kp1/P1PP2Rr/2K2P2/8/8 b - - 2 34","h4g4 f3g4 f5g4 c4c5 b6c5 a4a5","1597","75","100","267","advantage defensiveMove endgame long","https://lichess.org/TFdbHUOa/black#68","",""
"evade","4","2302","eade","exact","PaFUj","8/8/8/pp1P4/2k1K3/P7/8/8 b - - 0 46","c4c5 e4e5 b5b4 a3b4 a5b4 d5d6 c5c6 e5e6","1576","86","100","58","endgame","https://lichess.org/CGSbxJjb/black#92","",""
"naval","2","2301","aa","exact","Z2txS","6k1/5pp1/Qp2p2p/P7/1P2n3/4P2P/5PPK/2q5 b - - 2 31","b6a5 a6a8 g8h7 a8e4","1600","100","100","80","endgame equality fork short","https://lichess.org/C9eRaY5H/black#62","",""
"serve","2","2300","ee","exact","EGmGc","rnbq1r2/ppp1bk1p/1n4p1/3p2p1/8/1BNPQ3/PPP2PPP/R1B1R1K1 b - - 4 13","f7g7 e3e7 d8e7 e1e7","1600","75","100","866","advantage opening short","https://lichess.org/ovtu2u3V/black#26","Alekhine_Defense Alekhine_Defense_Normal_Variation",""
"heath","4","2299","heah","exact","8Q1sY","r2q4/pppn2k1/3pQp2/3Pp1r1/5bP1/N1P2K2/PP6/R6R b - - 6 22","d7c5 h1h7 g7h7 e6f7 g5g7 a1h1 f4h6 h1h6 h7h6 f7h5","1839","77","100","1433","attraction mate mateIn5 middlegame sacrifice veryLong","https://lichess.org/D74cHZJt/black#44","",""
"dwarf","3","2298","daf","exact","YLi1y","r2r4/p4kpp/5b2/8/4QP2/7P/PP1B1qP1/R2KR3 w - - 8 25","e4e3 d8d2 e3d2 a8d8 d2d8 f6d8","1595","76","100","143","crushing long middlegame pin sacrifice","https://lichess.org/F5X4DI51#49","",""
"model","2","2297","de","exact","6xb41","3r2k1/p1p1r1p1/2Qbq2p/5p2/PP2p3/2PPBN1P/5PP1/R4RK1 w - - 0 20","d3e4 d6h2 g1h2 e6c6","1600","120","100","61","discoveredAttack equality middlegame short","https://lichess.org/hOW19NLk#39","",""
"karma","2","2296","aa","exact","W51rP","r7/4kp1R/1p1p1p2/3PpP2/r1PqP3/1Q6/6PP/4R2K w - - 1 31","h2h3 a4a1 b3g3 a1e1","1601","77","100","86","endgame","https://lichess.org/9pU6rrwy#61","",""
"grade","4","2295","gade","exact","TXw37","3r3k/5Rq1/pp2Q2p/8/8/1P4P1/P3nPBP/6K1 w - - 4 31","g1f1 g7a1 f1e2 a1d1 e2e3 d1e1 e3f4 e1e6","1830","75","100","65","endgame","https://lichess.org/CW4cBcFB#61","",""
"quiet","1","2294","e","exact","S3ZhS","4B3/p7/1n2pp2/2rb1k2/Pp2q1p1/6QP/5PP1/5RK1 b - - 0 45","g4h3 e8g6","1600","76","100","329","master masterVsMaster mate mateIn1 middlegame oneMove","https://lichess.org/VQyl276r/black#90","",""
"bench","4","2293","bech","exact","M1024","2r1r2k/3QP2P/3p4/pp4p1/1n3q2/3B4/PPPR4/2K1R3 w - - 3 37","d7c8 b4d3 c1b1 e8c8 e7e8q c8e8 e1e8 h8h7","1882","75","94","4472","advantage intermezzo master middlegame pin veryLong","https://lichess.org/CGgYU007#73","",""
"abate","4","2292","abae","exact","IJUTl","4B3/6k1/P7/6r1/1K3p2/8/8/8 b - - 0 47","g5g1 a6a7 g1b1 b4a5 f4f3 a7a8q b1a1 e8a4","1896","76","98","353","advancedPawn crushing defensiveMove endgame promotion veryLong","https://lichess.org/P2mgyI4i/black#94","",""
"feign","3","2291","feg","exact","zDhgw","8/5Nkp/4p3/3p2p1/3PnQ2/5N1P/1q3rP1/4R1K1 w - - 2 34","f7g5 f2g2 g1h1 e4g3 f4g3 g2g3","1605","75","100","435","crushing long middlegame","https://lichess.org/tIaVEB79#67","",""
"major","1","2290","a","exact","PmCiK","1k1r1b1r/pp1n2pp/b1p2p2/Q3pn1P/1P5R/2N1BN2/3K1PP1/2R2q2 b - - 8 23","d7c5 a5d8","1602","78","100","430","hangingPiece mate mateIn1 middlegame oneMove queensideAttack","https://lichess.org/GAqeSIPB/black#46","",""
"death","4","2289","deah","exact","YFMfI","r6k/p6p/1p1P2p1/2p2p2/P1Qbq3/6P1/1P3P1P/R2R2K1 w - - 0 30","d6d7 d4f2 g1f2 e4c4 d7d8r a8d8 d1d8 h8g7","1189","75","100","211","advantage discoveredAttack endgame master masterVsMaster veryLong","https://lichess.org/IMRaPgHH#59","",""
"fresh","3","2288","feh","exact","WtqRg","3r2k1/5p1p/4pQ2/p1p1R3/2P5/PP1r2P1/5PKP/q7 b - - 1 31","g8f8 f6h8 f8e7 e5e6 f7e6 h8a1","1597","76","100","617","advantage discoveredAttack endgame long","https://lichess.org/Ra3ewnQ6/black#62","",""
"crust","1","2287","c","exact","S9Ffo","3r2k1/5pp1/p1p2p2/2b4p/4PN2/5P1P/bPP3P1/2K3NR w - - 0 18","b2b3 c5a3","1599","76","100","1113","endgame mate mateIn1 oneMove","https://lichess.org/WGdFF3nE#35","Richter-Veresov_Attack Richter-Veresov_Attack_Veresov_Variation",""
"colon","1","2286","c","exact","yjzco","r1b1qk1r/4bppp/p1N1p3/8/5Q2/8/PP3PPP/2R2RK1 b - - 0 16","c8b7 c6e7","1601","110","100","71","equality middlegame oneMove","https://lichess.org/QScWP11l/black#32","",""
"abase","4","2285","abae","exact","AeKY0","8/4k3/8/2P5/p5P1/5Q1K/q6P/8 w - - 0 65","c5c6 a2b3 h3g3 b3f3 g3f3 a4a3 c6c7 e7d7 c7c8q d7c8","1568","77","94","1035","crushing endgame queenEndgame veryLong","https://lichess.org/zSxQSwed#129","",""
"marry","1","2284","a","exact","TcXig","R7/7k/4pKP1/1p6/3n4/8/P3r3/8 b - - 0 46","h7h6 a8h8","1603","158","100","7","endgame","https://lichess.org/VV1T9cXT/black#92","",""
"react","3","2283","eac","exact","NkMO8","1k1r4/4q3/B3r2p/3p1p2/4p1p1/2P1Q1P1/1P3P1P/R5K1 b - - 0 34","e7a7 e3a7 b8a7 a6c8 a7b6 c8e6","1589","75","100","330","advantage discoveredAttack endgame exposedKing long queensideAttack","https://lichess.org/25pGigrm/black#68","",""
"batty","2","2282","ba","exact","sSHEs","r1b3k1/5rp1/p2p3R/q4p2/1pPP4/3QPN2/P2K1P1P/6R1 w - - 1 24","d3c2 b4b3 c2c3 a5a2","1600","76","100","1087","advantage deflection discoveredAttack middlegame short","https://lichess.org/EL8dpcX2#47","",""
"pride","2","2281","de","exact","uJSZP","r2q4/p2k1pp1/8/1pp1QP2/3pP2b/3Pn3/PP1N2B1/2R2RK1 w - - 1 24","f1f4 d8g5 e5d5 e3d5","1600","107","100","25","middlegame","https://lichess.org/rmx1tlQ7#47","",""
"floss","1","2280","f","exact","GIQka","2krr3/p1p2ppp/1p1b4/8/P7/2q1BQ1P/2P2PP1/1R1R2K1 b - - 0 18","d6c5 f3a8","1599","367","100","5","middlegame","https://lichess.org/7BkC6d6R/black#36","Nimzowitsch_Defense Nimzowitsch_Defense_Kennedy_Variation",""
"helix","2","2279","he","exact","TIxb4","8/p1p1kpp1/1p2p1p1/8/2PP4/4qQ1n/PP1N4/R5K1 w - - 3 22","g1g2 h3f4 g2h1 e3d2","1600","75","100","599","advantage endgame short","https://lichess.org/jUzzKRP6#43","",""
"croak","2","2278","ca","exact","Ld8rF","8/7p/RPBp2pk/2nPp3/1K4P1/8/2P4r/8 w - - 1 45","b6b7 c5a6 b4b5 a6b8","1599","75","100","939","crushing endgame hangingPiece master short","https://lichess.org/SEt74c6r#89","",""
"staff","3","2277","aff","exact","Ko3y6","8/4Qrk1/pp1p2p1/3P3p/P1Pb3P/1P2R1P1/4R1K1/q7 w - - 5 39","e7g5 a1f1 g2h2 f7f2 e2f2 f1f2","1607","75","100","574","crushing endgame long","https://lichess.org/75Zhz6lA#77","",""
"paper","2","2276","ae","exact","ZwDjq","3R2R1/ppp2p2/5k1p/6p1/2P5/1P3PK1/6PP/q7 w - - 4 30","g8h8 a1e1 g3g4 e1h4","1601","75","100","476","endgame mate mateIn2 queenRookEndgame short","https://lichess.org/FbdakmMv#59","",""
"unfed","3","2275","fed","exact","GBS9i","2r2rk1/5p1p/1qp1pnp1/p3N3/Bb1P4/4PQ2/1P3PPP/R1B2K2 b - - 3 19","g8g7 f3f6 g7f6 e5d7 f6g7 d7b6","1602","75","100","797","advantage attraction fork long middlegame sacrifice","https://lichess.org/WALssTlt/black#38","",""
"whelp","2","2274","he","exact","V4GXH","3rr1k1/p1p2ppp/2p5/2Q1B2q/2PR4/1P2PbP1/P4P1P/R5K1 w - - 3 23","d4h4 h5e5 c5e5 e8e5","1600","74","100","962","advantage middlegame short","https://lichess.org/RkijhZ7u#45","",""
"trawl","1","2273","a","exact","kyA7v","6N1/1p1k4/2pp4/bN2nP2/3KP3/2P5/1P6/8 w - - 4 63","b5a3 a5b6","1594","75","100","1616","endgame mate mateIn1 oneMove","https://lichess.org/c3Jfd3hC#125","",""
"outdo","1","2272","d","exact","mh2Uw","rn5r/ppp1kBp1/8/4N2p/1b1qpPb1/1Q1P4/PP4PP/R1B1KR2 w Q - 3 14","c1d2 d4e3","1600","75","100","543","mate mateIn1 middlegame oneMove pin","https://lichess.org/RQCZFZli#27","Kings_Gambit_Declined Kings_Gambit_Declined_Petrovs_Defense",""
"adobe","4","2271","adbe","exact","apAaJ","r1b3k1/1p3p1p/p2b2p1/q2Pr3/4B3/1P6/P1Q1NPPP/R2R2K1 w - - 2 20","c2c3 a5c3 e2c3 d6b4 a1c1 b4c3 c1c3 e5e4","1702","76","96","10486","capturingDefender crushing middlegame veryLong","https://lichess.org/iJ8rW4JD#39","",""
"crazy","2","2270","ca","exact","YuN7G","8/1k1q1r1p/6p1/1pQ5/1P3P2/3PB1P1/5K1P/8 b - - 0 38","d7d3 c5a7 b7c6 a7f7","1598","75","100","545","crushing endgame short skewer","https://lichess.org/O0LwrBdj/black#76","",""
"sower","1","2269","e","exact","2yTlC","4R3/rp1n3k/7b/2p2p1n/6RN/PP5P/1B6/6K1 b - - 0 37","f5g4 e8h8","1601","75","100","2022","mate mateIn1 middlegame oneMove","https://lichess.org/FokHI1lg/black#74","",""
"repay","2","2268","ea","exact","0dF4P","r3k2b/4pp2/p1ppb3/q3n1p1/4P3/2N2PB1/PPPQ2P1/2KR1B2 w q - 4 17","d2g5 e5d3 d1d3 a5g5","1601","75","100","1489","crushing discoveredAttack middlegame short","https://lichess.org/MySYGLMk#33","Sicilian_Defense Sicilian_Defense_Najdorf_Variation",""
"digit","2","2267","dg","exact","glsvh","rn1qk1nr/pp4pp/2p2p2/8/2BB4/5PbP/PPP3P1/RN1QK2R w KQkq - 2 11","d4f2 d8d1 e1d1 g3f2","1600","76","100","434","advantage opening short","https://lichess.org/CfFleQPo#21","Queens_Pawn_Game Queens_Pawn_Game_Other_variations",""
"crate","3","2266","cae","exact","SNd08","2k5/2q1b1R1/2p1p3/2B1p3/4Pp2/1Q3P2/PPK4r/8 w - - 3 34","c2c3 c7a5 b3b4 a5c5 b4c5 e7c5","1599","75","100","146","endgame","https://lichess.org/ZL7g53sW#67","",""
"cluck","2","2265","cc","exact","Rfemv","3r3k/p5bp/2p3p1/q2nP3/2Q1P3/8/PP1R3P/2KN3R b - - 0 28","a5d2 c1d2 d5b6 c4d3","1600","75","100","885","advantage hangingPiece master middlegame short","https://lichess.org/rATZc5JV/black#56","",""
"spike","1","2264","e","exact","GNZR2","7k/pb5n/1p2q3/7Q/2p2B1P/2PnK3/PP5N/R7 w - - 2 32","e3d4 e6e4","1598","76","100","1204","master mate mateIn1 middlegame oneMove","https://lichess.org/a6xc9Yen#63","",""
"mimic","1","2263","c","exact","rywcH","3rr3/1pR3pp/p2p1nk1/3b1NB1/P3n1PP/8/1P6/R5K1 b - - 0 24","e4g5 c7g7","1597","76","100","1449","hookMate mate mateIn1 middlegame oneMove","https://lichess.org/hliD5joj/black#48","",""
"pound","1","2262","d","exact","6LxtO","4R3/p1kp2Q1/1p1q1pn1/7p/2nB3K/2P2P2/P5PP/8 w - - 7 32","g7g6 d6h2","1598","75","100","332","endgame mate mateIn1 oneMove","https://lichess.org/ODCMdXp3#63","",""
"maxim","1","2261","a","exact","b0dcJ","q5k1/b1pn2pp/p2p1r2/P3p3/8/2PPN3/1P3PPP/1R1Q1RK1 w - - 0 21","e3d5 a8d5","1592","116","100","51","equality hangingPiece middlegame oneMove","https://lichess.org/qaQej4Qa#41","",""
"linen","1","2260","e","exact","OocqD","4Nr2/p4pkp/6p1/2p1Q3/4P2P/5r2/P3q1PK/8 b - - 1 29","g7h6 e5g5","1596","84","100","155","endgame mate mateIn1 oneMove","https://lichess.org/CRnTykYn/black#58","",""
"unmet","1","2259","e","exact","S0Pn7","N2k3r/pp2nppp/8/4P3/1b1n1B2/8/PPb1KPPP/2R2B1R w - - 5 13","e2e3 e7f5","1596","75","100","1471","mate mateIn1 middlegame oneMove","https://lichess.org/jT1RoBoI#25","Nimzowitsch_Defense Nimzowitsch_Defense_Scandinavian_Variation",""
"flesh","3","2258","feh","exact","4wSkP","3r1r1k/pp3Nbp/1q2Q1p1/8/3n4/P6P/1P3PP1/2R1R1K1 b - - 1 22","h8g8 f7h6 g8h8 e6g8 f8g8 h6f7","1605","77","100","1095","doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice smotheredMate","https://lichess.org/4icXMGqX/black#44","",""
"booby","2","2257","bb","exact","r08k4","2R5/8/7p/3k4/5KP1/7P/1rp5/8 w - - 0 50","g4g5 b2b4 f4f5 b4c4","1600","74","100","960","crushing endgame rookEndgame short","https://lichess.org/YPO4p6Hb#99","",""
"forth","2","2256","fh","exact","tBbEg","8/5p1p/1k1n1p1P/1p1P1P1B/1P1K4/8/8/8 w - - 11 59","h5g6 f7g6 f5g6 h7g6","1598","75","100","493","crushing endgame master short","https://lichess.org/2gJJt6mZ#117","",""
"first","1","2255","f","exact","Q8Qcd","r1r2k2/5p2/1q1P1Qp1/1p1P4/8/1p5P/PPPR4/2K5 b - - 0 28","b3a2 f6h8","1602","77","100","811","endgame mate mateIn1 oneMove","https://lichess.org/vCGPdem3/black#56","",""
"stand","2","2254","ad","exact","Fe84n","7r/p7/3Q2p1/1p5q/1k1pP3/3P2P1/P1P1R2r/6K1 b - - 1 33","h5c5 a2a3 b4a5 d6c5","1600","75","100","879","crushing deflection endgame short","https://lichess.org/NUEPqUtU/black#66","",""
"belly","2","2253","be","exact","PPOoh","5B2/3p1k2/1pb1p3/3qPp2/1Q1p2pr/3P4/1PR3P1/6K1 b - - 1 31","f7g6 b4e7 d5e5 e7h4","1601","75","100","1775","advantage endgame short","https://lichess.org/PSBgoAEi/black#62","",""
"seedy","3","2252","eed","exact","2IZuC","1b1qk2r/5r2/pp2Q2p/2p5/PnP5/5P2/1P3P2/R1B1R1K1 b k - 0 25","f7e7 e6g6 e8d7 e1d1 d7c8 d1d8","1599","74","100","1116","advantage exposedKing long middlegame skewer","https://lichess.org/uyW45cuu/black#50","",""
"yearn","2","2251","ea","exact","67UGS","8/p5k1/7R/r3n3/6N1/7P/P4K2/8 w - - 3 40","h6h5 e5d3 f2e3 a5h5","1599","76","100","72","endgame","https://lichess.org/fDaZAYwz#79","",""
"drain","2","2250","da","exact","E0g2Z","r6b/8/8/p3p1p1/1k2P3/2PP1P2/1P4P1/R2K4 b - - 0 25","b4b3 d1c1 a5a4 a1a3","1601","75","100","708","endgame mate mateIn2 short","https://lichess.org/Vl4xbmnq/black#50","",""
"bribe","3","2249","bbe","exact","bCOxX","1r3rk1/4bppp/p3pn2/1pq1Q3/2Pp4/3P2P1/P1N2PBP/1R2R1K1 b - - 1 22","b5c4 b1b8 c5e5 b8f8 g8f8 e1e5","1601","75","100","1864","advantage kingsideAttack long middlegame","https://lichess.org/KW5dSGcp/black#44","",""
"panel","2","2248","ae","exact","pdX8E","8/2k5/P7/3B2p1/1ppp4/3P2bP/P3K3/8 b - - 0 48","c4c3 a6a7 c3c2 e2d2","1598","75","100","235","advancedPawn bishopEndgame crushing endgame master short","https://lichess.org/CzBvx26c/black#96","",""
"crass","2","2247","ca","exact","BEvdN","1k1r3r/ppqb4/2n2p1p/2Npp1p1/8/B7/P3QPPP/1RR3K1 b - - 5 27","d7c8 c5a6 b8a8 a6c7","1603","166","100","27","middlegame","https://lichess.org/Xeoe05DP/black#54","",""
"flume","2","2246","fe","exact","6PTCx","r4k2/2p2pp1/p2p1q2/1p1P1b1r/P4P1p/1B1P4/1PP2Q1R/5RK1 b - - 0 25","f8e7 f2e2 e7d7 e2h5","1600","74","100","568","advantage fork middlegame short","https://lichess.org/89eFcTFu/black#50","",""
"offal","3","2245","ffa","exact","OaZNQ","r4rk1/p6p/1q2b1pn/3pP3/2p5/5N1P/PPP1B1P1/R2Q1RK1 w - - 3 22","d1d4 f8f3 d4b6 f3f1 e2f1 a7b6","1607","74","100","828","advantage kingsideAttack long middlegame","https://lichess.org/JCsIjRbd#43","",""
"agree","4","2244","agee","exact","zDObC","8/5K2/R6p/4P1k1/8/6r1/8/8 b - - 1 59","h6h5 a6g6 g5h4 g6g3 h4g3 e5e6 h5h4 e6e7 h4h3 e7e8q","1569","75","100","912","advancedPawn crushing endgame promotion rookEndgame veryLong","https://lichess.org/3qMCoL1Q/black#118","",""
"error","1","2243","e","exact","x2N10","6k1/pp1R1pp1/5b1p/8/5P2/1PrQP2K/P2N2PP/4q3 w - - 9 30","d3d5 e1h4","1596","75","100","1202","endgame master mate mateIn1 oneMove pin","https://lichess.org/Z5h7LFp3#59","",""
"argue","3","2242","age","exact","kwgOv","4k2r/1pp1bpp1/3p4/q3p2p/4P1b1/1PNPBN2/1PPK1P2/3Q2R1 w k - 0 16","d1a1 a5a1 g1a1 g4f3 a1a8 e7d8","1597","91","100","43","middlegame","https://lichess.org/NDiQOzIf#31","Four_Knights_Game Four_Knights_Game_Italian_Variation",""
"bleed","4","2241","beed","exact","IZRD3","r5nr/pp2kpbp/6p1/3P4/1Q4P1/4p3/P5BP/qN2R2K b - - 3 21","e7d8 b4d6 d8e8 e1e3 g7e5 e3e5 a1e5 d6e5","1607","75","100","978","crushing exposedKing middlegame veryLong","https://lichess.org/8zcfEQQU/black#42","",""
"delta","3","2240","dea","exact","wxYdj","8/8/8/4R3/8/3K4/1p5r/1k6 b - - 5 65","h2d2 d3d2 b1a2 e5a5 a2b3 a5b5","1606","76","100","2467","crushing endgame hangingPiece long rookEndgame","https://lichess.org/a9elcnvX/black#130","",""
"flick","2","2239","fc","exact","SamBe","6k1/1p3pbp/2p5/2P2N2/1P1p4/2nP2pq/5rB1/2Q2R1K w - - 0 37","g2h3 f2h2 h1g1 c3e2","1600","76","100","1006","fork mate mateIn2 middlegame short","https://lichess.org/hCyYWa3O#73","",""
"totem","1","2238","e","exact","SmDFx","3R4/5kp1/1pN1p2p/1Pn2PK1/6P1/2r5/4r2P/5R2 w - - 0 41","g5f4 e2e4","1595","76","100","666","endgame mate mateIn1 oneMove","https://lichess.org/I3wAgbQT#81","",""
"wooer","1","2237","e","exact","ftCEA","8/4N1pp/8/3p4/2r1p3/3bk3/PR4PP/3K4 b - - 7 41","d5d4 e7d5","1605","87","100","167","endgame mate mateIn1 oneMove","https://lichess.org/unorR34l/black#82","",""
"front","1","2236","f","exact","Qwz8G","7r/p2k2pp/1p2pp2/5b2/1b1P4/4PNB1/Pnr1KPPP/R3N2R w - - 2 18","e1c2 f5d3","1598","114","100","19","middlegame","https://lichess.org/OLyBvcOq#35","Indian_Defense Indian_Defense_Accelerated_London_System",""
"shrub","2","2235","hb","exact","xBc5D","2k4Q/p4p2/1pp4p/3q2p1/PPn3P1/6BP/5P1K/8 b - - 6 46","c8b7 h8b8 b7a6 b8c8","1602","76","100","411","endgame mate mateIn2 short","https://lichess.org/R2RqaIWe/black#92","",""
"parry","1","2234","a","exact","xRFEG","5r2/6pp/R2k4/3pp3/3Nn3/2P3P1/1P5P/4K3 b - - 2 31","d6c5 a6c6","1608","76","100","1137","endgame hookMate mate mateIn1 oneMove","https://lichess.org/fOI8493y/black#62","",""
"biome","2","2233","be","exact","db5x3","3b2k1/1b3ppp/q3p3/3pN3/2pPn3/r1P1P1B1/1Q2BPPP/1R4K1 b - - 3 28","a3b3 b2b3 c4b3 e2a6","1601","78","100","309","advantage middlegame short","https://lichess.org/rkNeWxEE/black#56","",""
"lapel","2","2232","ae","exact","ufizH","5rk1/R3R3/3K4/P7/8/8/4r3/8 b - - 4 47","e2e7 a7e7 f8a8 e7e5","1602","77","100","1050","crushing defensiveMove endgame rookEndgame short","https://lichess.org/JvkFyNVj/black#94","",""
"start","1","2231","a","exact","gv20K","8/1p6/2p1K3/N1k5/1n5b/8/4B2P/8 b - - 3 46","b7b6 a5b3","1591","77","100","925","endgame mate mateIn1 oneMove","https://lichess.org/jpTMWGl3/black#92","",""
"greet","3","2230","gee","exact","HN1yY","3q1rk1/5p2/6B1/1P2P2p/r1p1QPbP/8/1B4P1/2K4R b - - 2 28","d8d3 g6h7 g8g7 e5e6 c4c3 e4d3","1599","75","100","394","crushing deflection discoveredAttack long middlegame","https://lichess.org/3Rw0gyw7/black#56","",""
"goner","2","2229","ge","exact","GOWNr","8/5B2/1p3kP1/4p3/2P1P3/4KP2/8/6r1 w - - 9 46","f3f4 g1g3 e3f2 e5f4","1601","76","100","159","crushing deflection endgame short","https://lichess.org/ocYevDr2#91","",""
"golem","2","2228","ge","exact","Zncr4","8/5pk1/5bp1/1pp2q1n/4R3/2P1Q1P1/1P2R1KP/3r4 b - - 8 38","d1f1 g3g4 f5e4 e3e4","1601","76","100","1096","advantage fork master middlegame short","https://lichess.org/5FoTC2T4/black#76","",""
"round","1","2227","d","exact","pka1e","2rr2k1/pb2bppp/1p2p3/3q4/8/PP2P3/1B2BPPP/2RQ1RK1 w - - 0 18","c1c8 d5g2","1598","75","100","1194","kingsideAttack mate mateIn1 middlegame oneMove","https://lichess.org/sCr9t6LI#35","Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Indian_Variation",""
"audit","2","2226","ad","exact","2fhTx","1k1r3r/ppp2R1p/3b4/8/6B1/2B1PP2/qPP1QP1P/2K4R w - - 0 22","c3h8 a2a1 c1d2 d6b4","1602","76","100","893","doubleCheck mate mateIn2 middlegame queensideAttack short","https://lichess.org/640xqEfF#43","",""
"lying","1","2225","g","exact","3peYz","r4qr1/pp2b1pk/4P1Qp/2pp1P2/4p3/1P5P/PBP1K2P/R5R1 b - - 2 22","h7h8 g6h6","1599","76","100","121","middlegame","https://lichess.org/S60kzgEU/black#44","",""
"gamma","3","2224","gaa","exact","agIhL","8/4Pk2/8/2B3Kp/p7/6p1/8/8 w - - 0 50","g5h5 g3g2 h5g4 a4a3 g4g3 a3a2","1600","74","100","579","advancedPawn bishopEndgame crushing endgame long","https://lichess.org/3S6MweRr#99","",""
"labor","2","2223","ab","exact","GCNp9","k2r3r/p7/2p1p1b1/Q1Ppq3/1R6/2NP3p/P1P5/1R5K b - - 4 29","e5g3 a5a7 a8a7 b4a4","1599","75","100","619","attraction mate mateIn2 middlegame queensideAttack sacrifice short","https://lichess.org/5DWtqB6F/black#58","",""
"islet","1","2222","e","exact","kSd68","5R2/6rk/3p1Q1p/p4pp1/2P2P2/P2PP1b1/4q1BK/8 w - - 4 37","h2h3 e2g4","1595","76","100","540","endgame master mate mateIn1 oneMove","https://lichess.org/PKj611UI#73","",""
"civic","2","2221","cc","exact","nCnRE","2R2rk1/p2R1p1p/1p4p1/5r2/4p3/2Q1P1Pq/PP3P1P/6K1 b - - 11 24","f5h5 c8f8 g8f8 c3h8","1600","75","100","308","attraction endgame kingsideAttack mate mateIn2 short","https://lichess.org/43AAKmfk/black#48","",""
"forge","3","2220","fge","exact","XHtv9","3r1rk1/5pp1/2p1p1p1/2Q1P1n1/2P2q2/6NP/PP4PK/R3R3 w - - 1 27","e1f1 f4g3 h2g3 g5e4 g3h2 e4c5","1600","75","100","350","advantage attraction fork long middlegame sacrifice","https://lichess.org/E2DnAtkQ#53","",""
"corny","1","2219","c","exact","zF5Gg","4k3/2R4K/1p2PP2/p2r1B2/5P2/P2p2r1/1P6/8 b - - 0 48","d5f5 c7c8","1603","77","100","1514","endgame mate mateIn1 oneMove rookEndgame","https://lichess.org/Wt78FqIB/black#96","",""
"basic","3","2218","bac","exact","1xXUs","8/7p/6p1/5p2/ppk2P2/6P1/PP1K3P/8 w - - 0 43","d2c2 b4b3 a2b3 a4b3 c2d2 c4d4","1608","76","100","559","crushing defensiveMove endgame long pawnEndgame","https://lichess.org/NucKBa6r#85","",""
"salad","3","2217","aad","exact","bGPMu","8/7p/3k4/1P2p3/p3K1P1/7B/7P/8 w - - 0 54","g4g5 a4a3 b5b6 a3a2 b6b7 d6c7","1589","74","100","564","advancedPawn bishopEndgame crushing endgame long","https://lichess.org/2OE0UXbG#107","",""
"agate","4","2216","agae","exact","9GYra","6k1/5pp1/b4n2/Q6p/1P6/1P4PP/2r2PBK/3r4 b - - 0 30","a6f1 a5a8 g8h7 g2e4 f6e4 a8e4 g7g6 e4c2","1353","75","100","2247","advantage endgame fork veryLong","https://lichess.org/fDc0oXed/black#60","",""
"spicy","1","2215","c","exact","70Rw8","1r1q1rk1/2pb1ppp/p1pb3n/6N1/3P1B2/2N5/PPQ2PPP/R4RK1 b - - 1 15","d6f4 c2h7","1604","363","100","26","middlegame","https://lichess.org/ineFIQ1a/black#30","Center_Game Center_Game_Kieseritzky_Variation",""
"spray","1","2214","a","exact","quhBs","8/KP6/4k3/8/8/8/p4p2/1r1R4 w - - 5 65","b7b8q a2a1q","1609","75","100","1955","advancedPawn endgame master mate mateIn1 oneMove promotion","https://lichess.org/pCP90Ia5#129","",""
"essay","2","2213","ea","exact","9dSlW","2r5/2r1kbpp/p3p3/1p1pR3/3R4/2P2P2/PP3KPP/5B2 w - - 4 30","d4d5 e7f6 d5b5 a6b5","1603","75","100","492","advantage endgame master short","https://lichess.org/gScP43Bl#59","",""
